.	PUNCT	.
ⲡⲣⲟⲑⲩⲙⲓⲁ	N	ⲡⲣⲟⲑⲩⲙⲓⲁ
ⲡⲣⲟⲑⲩⲙⲟⲥ	N	ⲡⲣⲟⲑⲩⲙⲟⲥ
ⲡⲣⲟⲕⲉⲓⲙⲉⲛⲟⲛ	N	ⲡⲣⲟⲕⲉⲓⲙⲉⲛⲟⲛ
ⲡⲣⲟⲕⲓⲙⲉⲛⲟⲛ	N	ⲡⲣⲟⲕⲓⲙⲉⲛⲟⲛ
ⲡⲣⲟⲕⲟⲡⲏ	N	ⲡⲣⲟⲕⲟⲡⲏ
ⲡⲣⲟⲕⲟⲡⲧⲉ	V	ⲡⲣⲟⲕⲟⲡⲧⲉ
ⲡⲣⲟⲕⲣⲓⲙⲁⲧⲓⲍⲉ	V	ⲡⲣⲟⲕⲣⲓⲙⲁⲧⲓⲍⲉ
ⲡⲣⲟⲛⲓⲕⲟⲥ	N	ⲡⲣⲟⲛⲓⲕⲟⲥ
ⲡⲣⲟⲛⲟⲏⲧⲏⲥ	N	ⲡⲣⲟⲛⲟⲏⲧⲏⲥ
ⲡⲣⲟⲛⲟⲏⲧⲟⲥ	N	ⲡⲣⲟⲛⲟⲏⲧⲟⲥ
ⲡⲣⲟⲛⲟⲓⲁ	N	ⲡⲣⲟⲛⲟⲓⲁ
ⲡⲣⲟⲡⲁⲧⲱⲣ	N	ⲡⲣⲟⲡⲁⲧⲱⲣ
ⲡⲣⲟⲡⲉⲧⲏⲥ	N	ⲡⲣⲟⲡⲉⲧⲏⲥ
ⲡⲣⲟⲥ	PREP	ⲡⲣⲟⲥ
ⲡⲣⲟⲥⲁⲃⲃⲁⲧⲟⲛ	N	ⲡⲣⲟⲥⲁⲃⲃⲁⲧⲟⲛ
ⲡⲣⲟⲥⲇⲟⲕⲁ	V	ⲡⲣⲟⲥⲇⲟⲕⲁ
ⲡⲣⲟⲥⲇⲟⲕⲉⲓ	V	ⲡⲣⲟⲥⲇⲟⲕⲉⲓ
ⲡⲣⲟⲥⲇⲟⲕⲓⲁ	N	ⲡⲣⲟⲥⲇⲟⲕⲓⲁ
ⲡⲣⲟⲥⲉⲗⲉⲩⲥⲓⲥ	N	ⲡⲣⲟⲥⲉⲗⲉⲩⲥⲓⲥ
ⲡⲣⲟⲥⲉⲗⲑⲉ	V	ⲡⲣⲟⲥⲉⲗⲑⲉ
ⲡⲣⲟⲥⲉⲩⲭⲉ	V	ⲡⲣⲟⲥⲉⲩⲭⲉ
ⲡⲣⲟⲥⲉⲩⲭⲏ	N	ⲡⲣⲟⲥⲉⲩⲭⲏ
ⲡⲣⲟⲥⲉⲭⲉ	V	ⲡⲣⲟⲥⲉⲭⲉ
ⲡⲣⲟⲥⲏⲗⲩⲧⲟⲥ	N	ⲡⲣⲟⲥⲏⲗⲩⲧⲟⲥ
ⲡⲣⲟⲥⲑⲉⲙⲁ	N	ⲡⲣⲟⲥⲑⲉⲙⲁ
ⲡⲣⲟⲥⲑⲏⲣⲟⲥ	N	ⲡⲣⲟⲥⲑⲏⲣⲟⲥ
ⲡⲣⲟⲥⲑⲩⲕⲏ	N	ⲡⲣⲟⲥⲑⲩⲕⲏ
ⲡⲣⲟⲥⲕ/	N	ⲡⲣⲟⲥⲕ/
ⲡⲣⲟⲥⲕⲁⲣⲧⲉⲣⲉⲓ	V	ⲡⲣⲟⲥⲕⲁⲣⲧⲉⲣⲉⲓ
ⲡⲣⲟⲥⲕⲩⲛⲉⲓ	V	ⲡⲣⲟⲥⲕⲩⲛⲉⲓ
ⲡⲣⲟⲥⲕⲩⲛⲏⲥⲓⲥ	N	ⲡⲣⲟⲥⲕⲩⲛⲏⲥⲓⲥ
ⲡⲣⲟⲥⲧⲁⲅⲙⲁ	N	ⲡⲣⲟⲥⲧⲁⲅⲙⲁ
ⲡⲣⲟⲥⲧⲁⲥⲓⲁ	N	ⲡⲣⲟⲥⲧⲁⲥⲓⲁ
ⲡⲣⲟⲥⲧⲁⲧⲏⲥ	N	ⲡⲣⲟⲥⲧⲁⲧⲏⲥ
ⲡⲣⲟⲥⲧⲓⲙⲟⲛ	N	ⲡⲣⲟⲥⲧⲓⲙⲟⲛ
ⲡⲣⲟⲥⲫⲉⲣⲉⲓ	V	ⲡⲣⲟⲥⲫⲉⲣⲉⲓ
ⲡⲣⲟⲥⲫⲟⲣⲁ	N	ⲡⲣⲟⲥⲫⲟⲣⲁ
ⲡⲣⲟⲥⲫⲱⲛⲉⲓ	V	ⲡⲣⲟⲥⲫⲱⲛⲉⲓ
ⲡⲣⲟⲥⲭⲁⲣⲓⲍⲉ	V	ⲡⲣⲟⲥⲭⲁⲣⲓⲍⲉ
ⲡⲣⲟⲥⲱⲡⲟⲛ	N	ⲡⲣⲟⲥⲱⲡⲟⲛ
ⲡⲣⲟⲧⲉⲕⲧⲱⲣ	N	ⲡⲣⲟⲧⲉⲕⲧⲱⲣ
ⲡⲣⲟⲧⲟⲅⲉⲛⲏⲧⲟⲥ	N	ⲡⲣⲟⲧⲟⲅⲉⲛⲏⲧⲟⲥ
ⲡⲣⲟⲧⲟⲅⲉⲛⲛⲏⲧⲱⲣ	N	ⲡⲣⲟⲧⲟⲅⲉⲛⲛⲏⲧⲱⲣ
ⲡⲣⲟⲧⲟⲡⲗⲁⲥⲙⲁ	N	ⲡⲣⲟⲧⲟⲡⲗⲁⲥⲙⲁ
ⲡⲣⲟⲧⲟⲡⲟⲗⲓⲧⲏⲥ	N	ⲡⲣⲟⲧⲟⲡⲟⲗⲓⲧⲏⲥ
ⲡⲣⲟⲧⲟⲫⲓⲗⲟⲥ	N	ⲡⲣⲟⲧⲟⲫⲓⲗⲟⲥ
ⲡⲣⲟⲧⲣⲉⲡⲉ	V	ⲡⲣⲟⲧⲣⲉⲡⲉ
ⲡⲣⲟⲫⲁⲥⲓⲥ	N	ⲡⲣⲟⲫⲁⲥⲓⲥ
ⲡⲣⲟⲫⲉⲧⲉⲩⲉ	V	ⲡⲣⲟⲫⲉⲧⲉⲩⲉ
ⲡⲣⲟⲫⲏⲧⲉⲓⲁ	N	ⲡⲣⲟⲫⲏⲧⲉⲓⲁ
ⲡⲣⲟⲫⲏⲧⲉⲩⲉ	V	ⲡⲣⲟⲫⲏⲧⲉⲩⲉ
ⲡⲣⲟⲫⲏⲧⲏⲥ	N	ⲡⲣⲟⲫⲏⲧⲏⲥ
ⲡⲣⲟⲫⲏⲧⲓⲁ	N	ⲡⲣⲟⲫⲏⲧⲓⲁ
ⲡⲣⲟⲫⲏⲧⲓⲕⲟⲛ	N	ⲡⲣⲟⲫⲏⲧⲓⲕⲟⲛ
ⲡⲣⲟⲱⲛⲧⲟⲥ	N	ⲡⲣⲟⲱⲛⲧⲟⲥ
ⲡⲣⲱⲧⲁⲣⲭⲱⲛ	N	ⲡⲣⲱⲧⲁⲣⲭⲱⲛ
ⲡⲣⲱⲧⲉⲛⲛⲟⲓⲁ	N	ⲡⲣⲱⲧⲉⲛⲛⲟⲓⲁ
ⲡⲣⲱⲧⲏ	N	ⲡⲣⲱⲧⲏ
ⲡⲣⲱⲧⲓⲁ	N	ⲡⲣⲱⲧⲓⲁ
ⲡⲣⲱⲧⲟⲛ	ADV	ⲡⲣⲱⲧⲟⲛ
ⲡⲣⲱⲧⲟⲧⲩⲡⲱⲥ	ADV	ⲡⲣⲱⲧⲟⲧⲩⲡⲱⲥ
ⲡⲣⲱⲧⲟⲫⲁⲛⲏⲥ	N	ⲡⲣⲱⲧⲟⲫⲁⲛⲏⲥ
ⲡⲧⲱⲙⲁ	N	ⲡⲧⲱⲙⲁ
ⲡⲩⲕⲧⲉⲩⲉ	V	ⲡⲩⲕⲧⲉⲩⲉ
ⲡⲩⲗⲏ	N	ⲡⲩⲗⲏ
ⲡⲩⲗⲱⲛ	N	ⲡⲩⲗⲱⲛ
ⲡⲩⲝⲓⲟⲛ	N	ⲡⲩⲝⲓⲟⲛ
ⲡⲩⲣⲁ	N	ⲡⲩⲣⲁ
ⲡⲩⲣⲅⲟⲥ	N	ⲡⲩⲣⲅⲟⲥ
ⲡⲩⲣⲟⲩ	V	ⲡⲩⲣⲟⲩ
ⲡⲱⲥ	ADV	ⲡⲱⲥ
ⲡⲱⲧⲏⲣⲓⲟⲛ	N	ⲡⲱⲧⲏⲣⲓⲟⲛ
ⲣϩⲉⲙ	V	ⲣϩⲉⲙ
ⲣⲁ	N	ⲣⲁ
ⲣⲁ	PPERS	ⲛⲑⲟ
ⲣⲁ	V	ⲓⲣⲓ
ⲣⲁϣ	V	ⲣⲱϣ
ⲣⲁϣ	V	ⲣⲱϣⲓ
ⲣⲁϣⲓ	N	ⲣⲁϣⲓ
ⲣⲁϣⲓ	V	ⲣⲁϣⲓ
ⲣⲁϣⲓ	VSTAT	ⲣⲱϣⲓ
ⲣⲁϣⲧ	V	ⲣⲱϣⲓ
ⲣⲁϧ	V	ⲣⲱϧⲓ
ⲣⲁϧⲓ	VSTAT	ⲣⲱϧⲓ
ⲣⲁϧⲧ	V	ⲣⲱϧⲧ
ⲣⲁϧⲧ	VSTAT	ⲣⲱϧⲧ
ⲣⲁϫⲣⲉϫ	V	ϧⲣⲁϫⲣⲉϫ
ⲣⲁⲃⲏ	N	ⲣⲁⲟⲩⲏ
ⲣⲁⲃⲏⲟⲩⲧ	VSTAT	ⲣⲁⲟⲩⲱ
ⲣⲁⲕ	V	ⲣⲓⲕⲓ
ⲣⲁⲕⲓ	VSTAT	ⲣⲓⲕⲓ
ⲣⲁⲕⲧ	V	ⲣⲓⲕⲓ
ⲣⲁⲙⲓ	N	ⲣⲁⲙⲓ
ⲣⲁⲛ	N	ⲣⲁⲛ
ⲣⲁⲟⲩⲏ	N	ⲣⲁⲟⲩⲏ
ⲣⲁⲟⲩⲏⲟⲩⲧ	VSTAT	ⲣⲁⲟⲩⲱ
ⲣⲁⲟⲩⲱ	V	ⲣⲁⲟⲩⲱ
ⲣⲁⲥϯ	N	ⲣⲁⲥϯ
ⲣⲁⲥⲟⲩⲓ	N	ⲣⲁⲥⲟⲩⲓ
ⲣⲁⲧ	N	ⲣⲁⲧ
ⲣⲁⲧ	VSTAT	ⲣⲱⲧ
ⲣⲁⲩϣ	N	ⲣⲁⲩϣ
ⲣⲉ	N	ⲣⲟ
ⲣⲉϣ	V	ⲣⲱϣⲓ
ⲣⲉϥϯⲥⲃⲱ	N	ⲣⲉϥϯⲥⲃⲱ
ⲣⲉϥϯⲱⲙⲥ	N	ⲣⲉϥϯⲱⲙⲥ
ⲣⲉϥⲉⲣϩⲱⲃ	N	ⲣⲉϥⲉⲣϩⲱⲃ
ⲣⲉϥⲉⲣⲛⲟⲃⲓ	N	ⲣⲉϥⲉⲣⲛⲟⲃⲓ
ⲣⲉϥⲕⲓϯ	N	ⲕⲓϯ
ⲣⲉϥⲧⲁϩⲉⲣⲱⲙⲓ	N	ⲣⲉϥⲧⲁϩⲉⲣⲱⲙⲓ
ⲣⲉϧⲧ	V	ⲣⲱϧⲧ
ⲣⲉϫⲡ	V	ⲣⲱϫⲡ
ⲣⲉⲕ	V	ⲣⲓⲕⲓ
ⲣⲉⲕϩ	V	ⲣⲱⲕϩ
ⲣⲉⲕⲣⲓⲕⲓ	N	ⲣⲉⲕⲣⲓⲕⲓ
ⲣⲉⲕⲣⲱⲕ	VSTAT	ⲣⲉⲕⲣⲱⲕ
ⲣⲉⲙ	N	ⲣⲱⲙⲓ
ⲣⲉⲙϩⲉ	N	ⲣⲉⲙϩⲉ
ⲣⲉⲙⲛⲁⲍⲁⲣⲉⲑ	N	ⲣⲉⲙⲛⲁⲍⲁⲣⲉⲑ
ⲣⲉⲛ	N	ⲣⲁⲛ
ⲣⲉⲧ	V	ⲣⲱⲧ
ⲣⲏ	N	ⲣⲏ
ⲣⲏϯ	N	ⲣⲏϯ
ⲣⲏⲃ	N	ⲁⲣⲏⲃ
ⲣⲏⲓ	N	ⲣⲏⲓ
ⲣⲏⲓⲥⲉⲛ	N	ⲣⲏⲓⲥⲓ
ⲣⲏⲓⲥⲓ	N	ⲣⲏⲓⲥⲓ
ⲣⲏⲥ	N	ⲣⲏⲥ
ⲣⲏⲥ	VSTAT	ⲣⲱⲓⲥ
ⲣⲏⲥⲓⲥ	N	ⲣⲏⲥⲓⲥ
ⲣⲏⲧ	V	ⲉⲣⲏⲧ
ⲣⲏⲧ	VSTAT	ⲣⲱⲧ
ⲣⲓ	N	ⲣⲓ
ⲣⲓⲃⲏ	N	ⲣⲓⲃⲏ
ⲣⲓⲃⲓ	N	ⲣⲓⲃⲏ
ⲣⲓⲕⲓ	V	ⲣⲓⲕⲓ
ⲣⲓⲙⲓ	V	ⲣⲓⲙⲓ
ⲣⲓⲣ	N	ⲣⲓⲣ
ⲣⲓⲧⲁ	N	ⲣⲓⲧⲁ
ⲣⲓⲧⲓⲑⲓ	N	ⲣⲓⲧⲓⲑⲓ
ⲣⲙϩⲉⲩ	N	ⲣⲉⲙϩⲉ
ⲣⲙϩⲏⲟⲩ	N	ⲣⲉⲙϩⲉ
ⲣⲙⲛϩⲏ	N	ⲣⲉⲙϩⲉ
ⲣⲙⲟⲛⲁⲭⲟⲥ	N	ⲣⲙⲟⲛⲁⲭⲟⲥ
ⲣⲙⲟⲛⲁⲭⲟⲥ	V	ⲣⲙⲟⲛⲁⲭⲟⲥ
ⲣⲟ	N	ⲣⲟ
ⲣⲟϫⲡ	V	ⲣⲱϫⲡ
ⲣⲟϫⲡ	VSTAT	ⲣⲱϫⲡ
ⲣⲟϯ	N	ⲣⲟϯ
ⲣⲟⲑⲃ	V	ⲣⲱⲧⲉⲃ
ⲣⲟⲕϩ	V	ⲣⲱⲕϩ
ⲣⲟⲕϩ	VSTAT	ⲣⲱⲕϩ
ⲣⲟⲙⲡⲓ	N	ⲣⲟⲙⲡⲓ
ⲣⲟⲙⲥⲓⲛ	N	ⲣⲟⲙⲥⲓⲛ
ⲣⲟⲧ	V	ⲣⲱⲧ
ⲣⲟⲧⲉⲃ	VSTAT	ⲣⲱⲧⲉⲃ
ⲣⲟⲩϩⲓ	N	ⲣⲟⲩϩⲓ
ⲣⲧⲁⲃ	N	ⲣⲧⲁⲃ
ⲣⲧⲁⲃ	N	ⲣⲧⲟⲃ
ⲣⲭⲣⲉⲓⲁ	V	ⲣⲭⲣⲉⲓⲁ
ⲣⲱ	N	ⲣⲟ
ⲣⲱϣ	V	ⲣⲱϣ
ⲣⲱϣⲓ	V	ⲣⲱϣⲓ
ⲣⲱϧⲓ	V	ⲣⲱϧⲓ
ⲣⲱϧⲧ	V	ⲣⲱϧⲧ
ⲣⲱϫⲡ	V	ⲣⲱϫⲡ
ⲣⲱⲓⲥ	V	ⲣⲱⲓⲥ
ⲣⲱⲕϩ	V	ⲣⲱⲕϩ
ⲣⲱⲙⲓ	ART	ⲣⲱⲙⲓ
ⲣⲱⲙⲓ	N	ⲣⲱⲙⲓ
ⲣⲱⲛ	N	ⲣⲱⲛ
ⲣⲱⲟⲩ	N	ⲣⲟ
ⲣⲱⲟⲩϣ	N	ⲣⲱⲟⲩϣ
ⲣⲱⲟⲩϣ	V	ⲣⲱⲟⲩϣ
ⲣⲱⲟⲩⲓ	N	ⲣⲱⲟⲩⲓ
ⲣⲱⲟⲩⲧ	V	ⲉⲣⲟⲩⲟⲧ
ⲣⲱⲟⲩⲧ	VSTAT	ⲉⲣⲟⲩⲟⲧ
ⲣⲱⲥ	V	ⲣⲱⲓⲥ
ⲣⲱⲧ	V	ⲣⲱⲧ
ⲣⲱⲧⲉⲃ	V	ⲣⲱⲧⲉⲃ
ⲥ	PPERO	ⲛⲑⲟⲥ
ⲥ	PPERS	ⲛⲑⲟⲥ
ⲥϣⲉ	N	ⲥϣⲉ
ⲥϣⲉ	V	ⲥϣⲉ
ⲥϥⲱϯ	N	ⲥϥⲱϯ
ⲥϧⲁⲓ	V	ⲥϧⲁⲓ
ⲥϧⲉ	V	ⲥϧⲁⲓ
ⲥϧⲏⲟⲩⲧ	VSTAT	ⲥϧⲁⲓ
ⲥϧⲏⲧ	V	ⲥϧⲁⲓ
ⲥϧⲟ	N	ⲥϧⲟ
ⲥϩⲓⲙⲓ	N	ⲥϩⲓⲙⲓ
ⲥϩⲟⲩⲉⲣ	V	ⲥⲁϩⲟⲩⲓ
ⲥϩⲟⲩⲟⲣⲧ	VSTAT	ⲥⲁϩⲟⲩⲓ
ⲥϩⲟⲩⲱⲣ	V	ⲥⲁϩⲟⲩⲓ
ⲥϯⲭⲟⲥ	N	ⲥϯⲭⲟⲥ
ⲥⲁ	N	ⲥⲁ
ⲥⲁ	PREP	ⲥⲁ
ⲥⲁϥ	N	ⲥⲁϥ
ⲥⲁϥ	VSTAT	ⲥⲱϥ
ⲥⲁϧ	N	ⲥⲁϧ
ⲥⲁϧ	V	ⲥⲱϧⲓ
ⲥⲁϧⲉⲙ	V	ⲥⲱϧⲉⲙ
ⲥⲁϧⲉⲙ	VSTAT	ⲥⲁϧⲉⲙ
ⲥⲁϧⲙ	V	ⲥⲱϧⲉⲙ
ⲥⲁϧⲟⲧ	N	ⲥⲁϧⲱⲧ
ⲥⲁϧⲱⲧ	N	ⲥⲁϧⲱⲧ
ⲥⲁϩ	N	ⲥⲁϩ
ⲥⲁϩϯ	V	ⲥⲁϩϯ
ⲥⲁϩⲉⲙ	V	ⲥⲱϧⲉⲙ
ⲥⲁϩⲏⲟⲩⲧ	VSTAT	ⲥⲱϩⲓ
ⲥⲁϩⲛⲏⲧ	V	ⲥⲁϩⲛⲓ
ⲥⲁϩⲛⲓ	V	ⲥⲁϩⲛⲓ
ⲥⲁϩⲟϥ	V	ⲥⲁϩⲟϥ
ⲥⲁϩⲟⲩⲓ	V	ⲥⲁϩⲟⲩⲓ
ⲥⲁϩⲣ	VSTAT	ⲥⲱⲣϩ
ⲥⲁϩⲥ	V	ⲥⲁϩⲥ
ⲥⲁϩⲥⲉϩ	V	ⲥⲁϩⲥⲉϩ
ⲥⲁϩⲥⲉϩ	VSTAT	ⲥⲁϩⲥⲉϩ
ⲥⲁϩⲥⲱϩ	V	ⲥⲁϩⲥⲉϩ
ⲥⲁϩⲧ	V	ⲥⲱϧⲓ
ⲥⲁϩⲱ	V	ⲥⲟϩⲓ
ⲥⲁϩⲱ	V	ⲥⲱϩⲓ
ⲥⲁϫⲓ	N	ⲥⲁϫⲓ
ⲥⲁϫⲓ	V	ⲥⲁϫⲓ
ⲥⲁϯ	N	ⲥⲁϯ
ⲥⲁϯ	V	ⲥⲁϯ
ⲥⲁϯ	VSTAT	ⲥⲓϯ
ⲥⲁⲃⲁⲕⲁⲧⲉ	N	ⲥⲁⲃⲁⲕⲁⲧⲉ
ⲥⲁⲃⲁⲱⲑ	NPROP	ⲥⲁⲃⲁⲱⲑ
ⲥⲁⲃⲃⲁⲧⲟⲛ	N	ⲥⲁⲃⲃⲁⲧⲟⲛ
ⲥⲁⲃⲉ	N	ⲥⲁⲃⲉ
ⲥⲁⲃⲉⲕ	N	ⲥⲁⲃⲉⲕ
ⲥⲁⲃⲉⲩ	N	ⲥⲁⲃⲉ
ⲥⲁⲃⲏ	N	ⲥⲁⲃⲉ
ⲥⲁⲃⲟⲗ	ADV	ⲥⲁⲃⲟⲗ
ⲥⲁⲇⲇⲟⲩⲕⲁⲓⲟⲥ	NPROP	ⲥⲁⲇⲇⲟⲩⲕⲁⲓⲟⲥ
ⲥⲁⲑⲉⲣⲓ	N	ⲥⲁⲑⲉⲣⲓ
ⲥⲁⲑⲙⲓ	V	ⲥⲁⲑⲙⲓ
ⲥⲁⲓ	V	ⲥϧⲁⲓ
ⲥⲁⲓ	V	ⲥⲓ
ⲥⲁⲓ	NPROP	ⲥⲁⲓ
ⲥⲁⲓⲉ	VSTAT	ⲥⲁⲓ
ⲥⲁⲓⲱⲟⲩ	VSTAT	ⲥⲁⲓ
ⲥⲁⲓⲱⲟⲩ	VSTAT	ⲥⲁⲓⲱⲟⲩ
ⲥⲁⲕ	N	ⲥⲁⲕ
ⲥⲁⲕⲓⲁ	N	ⲥⲁⲕⲓⲁ
ⲥⲁⲗϩⲟ	N	ⲥⲉⲗϩⲟ
ⲥⲁⲗⲁⲙⲁⲛⲇⲣⲁ	N	ⲥⲁⲗⲁⲙⲁⲛⲇⲣⲁ
ⲥⲁⲗⲙⲱⲛ	NPROP	ⲥⲁⲗⲙⲱⲛ
ⲥⲁⲗⲟⲩⲕⲓ	N	ⲥⲁⲗⲟⲩⲕⲓ
ⲥⲁⲗⲡⲓⲅⲅⲟⲥ	N	ⲥⲁⲗⲡⲓⲅⲅⲟⲥ
ⲥⲁⲗⲡⲓⲅⲝ	N	ⲥⲁⲗⲡⲓⲅⲝ
ⲥⲁⲗⲡⲓⲍⲉ	V	ⲥⲁⲗⲡⲓⲍⲉ
ⲥⲁⲗⲱⲙⲏ	N	ⲥⲁⲗⲱⲙⲏ
ⲥⲁⲗⲱⲙⲏ	NPROP	ⲥⲁⲗⲱⲙⲏ
ⲥⲁⲙⲁⲣⲓⲁ	NPROP	ⲥⲁⲙⲁⲣⲓⲁ
ⲥⲁⲙⲁⲣⲓⲧⲏⲥ	N	ⲥⲁⲙⲁⲣⲓⲧⲏⲥ
ⲥⲁⲙⲃⲉϩⲓ	N	ⲥⲁⲙⲃⲉϩⲓ
ⲥⲁⲙⲉⲛϩⲉ	PREP	ⲥⲁⲙⲉⲛϩⲉ
ⲥⲁⲙⲉⲛϩⲏ	PREP	ⲥⲁⲙⲉⲛϩⲉ
ⲥⲁⲙⲓⲧ	N	ⲥⲁⲙⲓⲧ
ⲥⲁⲙⲟⲩⲏⲗ	NPROP	ⲥⲁⲙⲟⲩⲏⲗ
ⲥⲁⲛⲇⲁⲗⲓⲟⲛ	N	ⲥⲁⲛⲇⲁⲗⲓⲟⲛ
ⲥⲁⲛⲓⲥ	N	ⲥⲁⲛⲓⲥ
ⲥⲁⲡⲡⲉⲓⲣⲓⲛⲟⲛ	N	ⲥⲁⲡⲡⲉⲓⲣⲓⲛⲟⲛ
ⲥⲁⲡⲡⲓⲣⲟⲛ	N	ⲥⲁⲡⲡⲓⲣⲟⲛ
ⲥⲁⲡⲡⲓⲣⲟⲥ	N	ⲥⲁⲡⲡⲓⲣⲟⲥ
ⲥⲁⲣϩ	V	ⲥⲱⲣϩ
ⲥⲁⲣϩ	VSTAT	ⲥⲱⲣϩ
ⲥⲁⲣⲁϫⲱϥ	N	ⲥⲁⲣⲁϫⲱϥ
ⲥⲁⲣⲁⲅⲏⲛⲟⲥ	N	ⲥⲁⲣⲁⲅⲏⲛⲟⲥ
ⲥⲁⲣⲁⲕⲱϯ	N	ⲥⲁⲣⲁⲕⲱϯ
ⲥⲁⲣⲁⲡⲓⲟⲛ	NPROP	ⲥⲁⲣⲁⲡⲓⲟⲛ
ⲥⲁⲣⲁⲫⲉⲓⲛ	N	ⲥⲁⲣⲁⲫⲉⲓⲛ
ⲥⲁⲣⲇⲓⲟⲛ	N	ⲥⲁⲣⲇⲓⲟⲛ
ⲥⲁⲣⲕⲁⲛⲏ	N	ⲥⲁⲣⲕⲁⲛⲏ
ⲥⲁⲣⲕⲓⲕⲏ	N	ⲥⲁⲣⲕⲓⲕⲏ
ⲥⲁⲣⲕⲓⲕⲟⲛ	N	ⲥⲁⲣⲕⲓⲕⲟⲛ
ⲥⲁⲣⲕⲓⲕⲟⲥ	N	ⲥⲁⲣⲕⲓⲕⲟⲥ
ⲥⲁⲣⲕⲓⲕⲱⲥ	N	ⲥⲁⲣⲕⲓⲕⲱⲥ
ⲥⲁⲣⲝ	N	ⲥⲁⲣⲝ
ⲥⲁⲣⲟⲩⲕⲓ	N	ⲥⲁⲣⲟⲩⲕⲓ
ⲥⲁⲣⲣⲁ	NPROP	ⲥⲁⲣⲣⲁ
ⲥⲁⲥⲉⲗ	V	ⲥⲁⲥⲉⲗ
ⲥⲁⲧ	N	ⲥⲁⲧ
ⲥⲁⲧ	V	ⲥⲓϯ
ⲥⲁⲧⲁⲛⲁⲥ	N	ⲥⲁⲧⲁⲛⲁⲥ
ⲥⲁⲧⲁⲛⲁⲥ	NPROP	ⲥⲁⲧⲁⲛⲁⲥ
ⲥⲁⲧⲉⲉⲣⲉ	N	ⲥⲁⲧⲉⲉⲣⲉ
ⲥⲁⲧⲏⲟⲩⲧ	V	ⲥⲁⲧⲏⲟⲩⲧ
ⲥⲁⲧⲏⲣ	VSTAT	ⲥⲱⲧⲉⲣ
ⲥⲁⲧⲟⲧ	N	ⲥⲁⲧⲟⲧ
ⲥⲁⲧⲟⲧϥ	ADV	ⲥⲁⲧⲟⲧϥ
ⲥⲁⲧⲟⲧⲟⲩ	ADV	ⲥⲁⲧⲟⲧⲟⲩ
ⲥⲁⲩ	V	ⲥⲱ
ⲥⲁⲫⲏⲛⲓⲍⲉ	V	ⲥⲁⲫⲏⲛⲓⲍⲉ
ⲥⲁⲭⲑⲁⲛⲉⲓ	V	ⲥⲁⲭⲑⲁⲛⲉⲓ
ⲥⲁⲭⲟⲗ	N	ⲥⲁⲭⲟⲗ
ⲥⲃⲉ	N	ⲥⲃⲉ
ⲥⲃⲑⲁⲓⲟⲩ	N	ⲥⲟⲃⲧ
ⲥⲃⲟⲕ	V	ⲥⲃⲟⲕ
ⲥⲃⲱ	N	ⲥⲃⲱ
ⲥⲉ	PPERS	ⲛⲑⲱⲟⲩ
ⲥⲉ	V	ⲥⲱ
ⲥⲉϥ	V	ⲥⲱϥ
ⲥⲉϩⲛⲉ	V	ⲥⲁϩⲛⲓ
ⲥⲉϩⲛⲏⲟⲩⲧ	VSTAT	ⲥⲁϩⲛⲓ
ⲥⲉϩⲧ	N	ⲥⲉϩⲧ
ⲥⲉϫⲡ	V	ⲥⲱϫⲡ
ⲥⲉⲃ	V	ⲥⲱⲡ
ⲥⲉⲃⲉⲛ	N	ⲥⲉⲃⲉⲛ
ⲥⲉⲃⲉⲥⲑⲁⲓ	V	ⲥⲉⲃⲉⲥⲑⲁⲓ
ⲥⲉⲃⲏⲣⲓⲟⲛ	N	ⲥⲉⲃⲏⲣⲓⲟⲛ
ⲥⲉⲃⲓ	N	ⲥⲏⲃⲓ
ⲥⲉⲃⲓ	V	ⲥⲉⲃⲓ
ⲥⲉⲃⲧⲉ	V	ⲥⲟⲃϯ
ⲥⲉⲃⲧⲱⲧ	V	ⲥⲟⲃϯ
ⲥⲉⲃⲧⲱⲧ	VSTAT	ⲥⲟⲃϯ
ⲥⲉⲑⲃⲁⲓⲟⲩ	N	ⲥⲑⲃⲁⲓϩ
ⲥⲉⲓⲱⲟⲩⲛⲓ	N	ⲥⲓⲱⲟⲩⲛⲓ
ⲥⲉⲕ	V	ⲥⲱⲕ
ⲥⲉⲕⲉϩ	V	ⲥⲉⲕⲉϩ
ⲥⲉⲕⲥⲉⲕ	V	ⲥⲟⲕⲥⲉⲕ
ⲥⲉⲕⲥⲓⲕ	N	ⲥⲉⲕⲥⲓⲕ
ⲥⲉⲗϩⲟ	N	ⲥⲉⲗϩⲟ
ⲥⲉⲗϫ	V	ⲥⲱⲗϫ
ⲥⲉⲗⲏⲛⲓⲁⲍⲉ	V	ⲥⲉⲗⲏⲛⲓⲁⲍⲉ
ⲥⲉⲗⲓⲥ	N	ⲥⲉⲗⲓⲥ
ⲥⲉⲗⲟⲩⲡⲓⲛ	N	ⲥⲉⲗⲟⲩⲡⲓⲛ
ⲥⲉⲗⲥⲉⲗ	V	ⲥⲟⲗⲥⲉⲗ
ⲥⲉⲗⲥⲱⲗ	V	ⲥⲟⲗⲥⲉⲗ
ⲥⲉⲗⲥⲱⲗ	VSTAT	ⲥⲟⲗⲥⲉⲗ
ⲥⲉⲙⲓ	V	ⲥⲉⲙⲓ
